2026-04-10 05:29:19,224 ERROR API error 400
2026-04-10 05:29:35,585 ERROR API error 400
2026-04-10 05:29:37,092 ERROR API error 400
2026-04-10 05:29:40,158 ERROR API error 400
2026-04-10 05:29:44,967 ERROR API error 400
2026-04-10 05:29:54,340 ERROR API error 400
2026-04-10 05:37:37,633 ERROR API error 400
2026-04-10 05:37:38,990 ERROR API error 400
2026-04-10 05:37:41,600 ERROR API error 400
2026-04-10 05:37:45,956 ERROR API error 400
2026-04-10 05:37:54,723 ERROR API error 400
2026-04-10 05:38:11,119 ERROR API error 400
2026-04-10 05:38:12,704 ERROR API error 400
2026-04-10 05:38:15,101 ERROR API error 400
2026-04-10 05:38:19,664 ERROR API error 400
2026-04-10 05:38:28,788 ERROR API error 400
2026-04-10 05:38:52,209 ERROR API error 400
2026-04-10 05:38:53,566 ERROR API error 400
2026-04-10 05:38:55,959 ERROR API error 400
2026-04-10 05:39:00,317 ERROR API error 400
2026-04-10 05:39:08,675 ERROR API error 400
2026-04-10 05:39:25,202 ERROR API error 400
2026-04-10 05:39:26,523 ERROR API error 400
2026-04-10 05:39:28,869 ERROR API error 400
2026-04-10 05:39:33,190 ERROR API error 400
2026-04-10 05:39:42,676 ERROR API error 400
2026-04-10 16:15:43 | INFO | Starting YouTube Ingestion (since 2026-04-10T05:39:58Z)...
2026-04-10 16:15:43 | INFO | Processing keyword: traffic accident
2026-04-10 16:15:44 | INFO | API Request to https://www.googleapis.com/youtube/v3/search - Status: 200
2026-04-10 16:15:45 | INFO | Saved 50 records to /workspace/data/bronze/youtube/yt_1775837743_traffic_accident.json
2026-04-10 16:15:46 | INFO | API Request to https://www.googleapis.com/youtube/v3/search - Status: 200
2026-04-10 16:15:46 | INFO | Saved 50 records to /workspace/data/bronze/youtube/yt_1775837743_traffic_accident.json
2026-04-10 16:15:48 | INFO | API Request to https://www.googleapis.com/youtube/v3/search - Status: 200
2026-04-10 16:15:48 | INFO | Saved 50 records to /workspace/data/bronze/youtube/yt_1775837743_traffic_accident.json
